season,row_count,generated_at_utc,source_endpoint
2026,4032,2026-05-30 18:10:52 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2005,105,2026-05-30 18:18:19 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2006,1565,2026-05-30 18:23:46 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2007,3747,2026-05-30 18:30:24 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2008,3947,2026-05-30 18:37:11 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2009,3667,2026-05-30 18:43:53 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2010,3684,2026-05-30 18:50:40 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2011,3355,2026-05-30 18:57:30 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2012,3178,2026-05-30 19:03:02 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2013,3946,2026-05-30 19:10:05 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2014,3961,2026-05-30 19:17:07 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2015,3938,2026-05-30 19:24:00 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2002,3778,2026-05-30 19:27:58 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2016,3972,2026-05-30 19:31:57 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2004,3812,2026-05-30 19:35:57 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2017,3970,2026-05-30 19:39:58 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2006,3954,2026-05-30 19:43:57 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2007,3927,2026-05-30 19:47:56 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2008,3947,2026-05-30 19:51:58 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2009,3667,2026-05-30 19:55:57 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2010,3684,2026-05-30 19:59:58 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2011,3355,2026-05-30 20:03:59 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2012,3178,2026-05-30 20:07:58 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2013,3946,2026-05-30 20:12:12 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2021,3429,2026-05-30 20:16:15 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2015,3938,2026-05-30 20:20:19 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2022,3961,2026-05-30 20:24:23 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2018,3985,2026-05-30 20:29:34 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2019,3983,2026-05-30 20:33:35 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2021,3429,2026-05-30 20:38:16 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2024,3957,2026-05-30 20:42:13 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2023,3956,2026-05-30 20:46:16 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2025,3696,2026-05-30 20:50:15 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2025,3696,2026-05-30 20:54:14 UTC,/mnt/sdv_repos/hoopR-nba-raw/nba/game_rosters/json/<game_id>.json
2026,4032,2026-05-30 20:58:14 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2026,4032,2026-05-31 10:18:52 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2026,4036,2026-05-31 12:16:03 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2026,4036,2026-06-01 12:17:00 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
2026,4036,2026-06-01 13:10:36 UTC,https://raw.githubusercontent.com/sportsdataverse/hoopR-nba-raw/main/nba/game_rosters/json/<game_id>.json
