season,row_count,generated_at_utc,source_endpoint
2023,294914,2026-08-02 13:39:28 UTC,derived from espn_nba pbp
2025,292933,2026-07-14 05:24:23 UTC,derived from espn_nba pbp
2026,298411,2026-08-07 15:57:49 UTC,derived from espn_nba pbp
